feature,importance
max_medals_historical,0.5870065
medal_count_lag1,0.1536948
athlete_medal_interaction,0.056149673
event_count,0.05519059
female_athletes,0.028832043
athlete_count,0.026094412
athlete_count_normalized,0.0149356425
athlete_count_trend,0.011256132
avg_medals_last_3,0.0072408137
year_medal_interaction,0.0063557136
team_events_count,0.005866044
silver_count_lag1,0.004838861
is_host,0.0047007864
medal_streak,0.00418066
bronze_count_lag1,0.0033803857
medal_count_lag2,0.0031417552
NOC_encoded,0.0031392311
sport_count,0.0030524228
total_historical_medals,0.0025082144
years_since_first_participation,0.0023385633
gold_count_lag1,0.0022826781
medal_count_lag3,0.002255921
host_medal_interaction,0.0022224472
medal_trend,0.0021521333
historical_medal_rate,0.0021396617
years_since_last_medal,0.0016581696
is_improving,0.0011828648
year_normalized,0.0011051031
historical_participation_count,0.001097813
